ID_Venda,Data,Produto,Quantidade,Preco,Regiao
1,2023-02-27,Produto B,16,15.94,Sul
2,2022-03-04,Produto C,14,92.5,Centro-Oeste
3,2023-09-03,Produto A,8,353.21,Norte
4,2022-10-13,Produto C,17,308.68,Nordeste
5,2022-03-08,Produto C,4,294.38,Sul
6,2022-03-28,Produto C,11,172.43,Norte
7,2023-07-20,Produto B,2,373.89,Norte
8,2022-08-22,Produto D,5,253.62,Sul
9,2022-03-16,Produto C,8,157.97,Norte
10,2022-05-18,Produto E,11,247.11,Centro-Oeste
11,2022-09-18,Produto B,5,163.67,Centro-Oeste
12,2023-06-17,Produto A,15,204.0,Nordeste
13,2022-01-20,Produto A,13,273.98,Sudeste
14,2022-02-23,Produto A,1,36.88,Nordeste
15,2022-12-20,Produto E,11,452.31,Nordeste
16,2023-02-17,Produto C,16,207.58,Norte
17,2023-03-10,Produto E,11,322.31,Centro-Oeste
18,2023-05-05,Produto D,14,104.06,Sudeste
19,2023-05-04,Produto D,17,12.1,Norte
20,2022-08-13,Produto B,18,246.51,Nordeste
21,2023-06-01,Produto B,8,444.18,Nordeste
22,2023-12-15,Produto D,18,167.38,Centro-Oeste
23,2022-11-12,Produto E,14,418.99,Norte
24,2023-04-08,Produto D,8,192.72,Nordeste
25,2022-06-29,Produto A,7,377.45,Nordeste
26,2022-10-21,Produto A,15,184.96,Nordeste
27,2023-12-27,Produto E,14,166.26,Centro-Oeste
28,2023-09-04,Produto D,11,474.54,Nordeste
29,2022-05-17,Produto D,14,441.2,Sul
30,2023-08-07,Produto E,15,159.64,Sul
31,2022-02-23,Produto C,7,327.84,Sul
32,2023-09-06,Produto E,2,88.13,Nordeste
33,2023-03-28,Produto C,12,100.12,Sul
34,2023-12-27,Produto B,16,312.11,Sudeste
35,2023-01-17,Produto D,8,221.43,Sul
36,2022-07-10,Produto E,5,420.66,Sul
37,2023-11-07,Produto C,6,23.65,Sul
38,2022-03-08,Produto D,8,144.98,Nordeste
39,2023-03-29,Produto E,12,187.1,Sul
40,2022-06-12,Produto E,7,60.2,Nordeste
41,2023-04-16,Produto A,8,252.02,Sudeste
42,2022-12-16,Produto D,9,318.82,Sudeste
43,2022-05-02,Produto E,11,196.88,Centro-Oeste
44,2023-12-16,Produto A,13,397.97,Nordeste
45,2022-07-03,Produto B,14,495.85,Sul
46,2022-11-06,Produto E,17,77.09,Norte
47,2023-09-02,Produto D,11,18.03,Nordeste
48,2022-06-23,Produto A,10,27.72,Centro-Oeste
49,2023-09-29,Produto B,9,83.49,Centro-Oeste
50,2022-10-15,Produto B,19,242.86,Centro-Oeste
51,2022-11-16,Produto D,20,326.8,Norte
52,2022-10-13,Produto E,19,372.6,Nordeste
53,2023-07-27,Produto A,16,22.92,Centro-Oeste
54,2023-09-08,Produto B,9,497.32,Sul
55,2023-07-26,Produto D,3,296.0,Sudeste
56,2022-11-08,Produto B,4,411.57,Sul
57,2022-09-09,Produto A,8,106.23,Centro-Oeste
58,2022-10-12,Produto B,7,16.86,Sudeste
59,2023-05-16,Produto D,4,319.73,Centro-Oeste
60,2022-12-29,Produto D,10,319.14,Centro-Oeste
61,2023-02-01,Produto E,12,199.1,Sudeste
62,2023-06-14,Produto B,17,123.25,Centro-Oeste
63,2022-03-05,Produto A,9,51.52,Centro-Oeste
64,2022-05-16,Produto B,12,75.45,Nordeste
65,2023-02-21,Produto A,2,367.31,Nordeste
66,2023-06-12,Produto D,10,192.9,Sudeste
67,2023-05-30,Produto C,1,461.51,Norte
68,2022-07-21,Produto B,6,401.72,Sul
69,2022-02-19,Produto E,15,82.79,Sudeste
70,2023-11-10,Produto C,20,313.96,Sul
71,2023-03-20,Produto C,15,366.06,Sudeste
72,2023-10-28,Produto D,17,80.14,Norte
73,2023-11-11,Produto A,20,80.22,Centro-Oeste
74,2022-09-19,Produto E,9,359.42,Nordeste
75,2023-04-25,Produto B,3,284.38,Nordeste
76,2022-07-31,Produto B,1,205.98,Sul
77,2022-04-24,Produto A,18,53.41,Centro-Oeste
78,2022-05-06,Produto B,8,273.86,Sul
79,2022-06-22,Produto C,12,493.89,Nordeste
80,2022-02-23,Produto D,3,68.53,Nordeste
81,2022-07-10,Produto A,13,470.6,Centro-Oeste
82,2022-02-02,Produto A,2,200.7,Sul
83,2023-06-28,Produto D,9,221.41,Sudeste
84,2022-05-16,Produto A,7,254.91,Nordeste
85,2023-06-26,Produto C,10,257.24,Centro-Oeste
86,2023-05-16,Produto B,13,348.44,Centro-Oeste
87,2023-12-10,Produto D,2,68.32,Centro-Oeste
88,2022-01-11,Produto B,6,369.19,Norte
89,2022-12-23,Produto E,14,107.91,Sul
90,2022-01-07,Produto A,14,147.53,Nordeste
91,2023-03-20,Produto D,19,447.83,Sudeste
92,2022-02-18,Produto E,8,87.52,Sul
93,2022-12-04,Produto E,2,291.78,Nordeste
94,2023-01-03,Produto E,5,386.65,Norte
95,2022-08-09,Produto E,19,224.78,Norte
96,2023-06-07,Produto B,6,181.79,Sul
97,2022-01-04,Produto B,18,338.44,Sul
98,2023-12-15,Produto B,7,138.98,Sul
99,2023-01-30,Produto C,20,158.17,Sul
100,2023-12-05,Produto B,12,12.56,Nordeste
101,2022-11-17,Produto E,1,304.2,Norte
102,2023-07-18,Produto A,6,203.89,Nordeste
103,2023-07-15,Produto C,2,425.58,Nordeste
104,2023-02-02,Produto E,12,310.29,Nordeste
105,2022-12-20,Produto B,17,219.07,Norte
106,2022-12-19,Produto C,2,357.02,Sul
107,2023-04-04,Produto B,20,170.91,Centro-Oeste
108,2023-06-24,Produto B,16,65.39,Nordeste
109,2022-07-09,Produto E,11,71.17,Nordeste
110,2023-05-04,Produto A,9,95.96,Nordeste
111,2023-11-08,Produto E,6,440.57,Nordeste
112,2022-05-02,Produto C,8,87.88,Sudeste
113,2022-04-16,Produto B,4,24.66,Norte
114,2022-10-25,Produto E,14,351.1,Norte
115,2022-04-05,Produto D,12,219.08,Norte
116,2023-10-15,Produto A,17,464.5,Sul
117,2022-07-23,Produto A,19,324.89,Sul
118,2023-12-23,Produto C,17,259.25,Sul
119,2023-03-31,Produto B,5,485.7,Centro-Oeste
120,2022-01-18,Produto E,5,63.03,Centro-Oeste
121,2023-05-19,Produto D,10,63.17,Sudeste
122,2022-09-09,Produto D,19,16.85,Sul
123,2023-04-22,Produto A,20,312.42,Norte
124,2022-12-18,Produto A,20,303.26,Sul
125,2023-02-19,Produto D,14,365.03,Centro-Oeste
126,2022-03-16,Produto D,7,199.59,Sul
127,2022-03-29,Produto B,5,482.16,Centro-Oeste
128,2022-01-26,Produto D,9,302.11,Centro-Oeste
129,2023-01-20,Produto C,17,90.87,Sul
130,2022-05-30,Produto E,1,55.68,Nordeste
131,2022-12-15,Produto C,6,353.62,Nordeste
132,2023-08-09,Produto E,6,394.96,Norte
133,2023-05-02,Produto B,1,87.07,Sudeste
134,2023-01-10,Produto D,7,204.42,Sudeste
135,2023-01-20,Produto E,16,122.09,Nordeste
136,2023-10-22,Produto E,9,35.7,Sudeste
137,2022-04-04,Produto A,2,194.5,Norte
138,2022-12-16,Produto A,7,488.93,Centro-Oeste
139,2022-08-08,Produto B,4,232.76,Sudeste
140,2023-01-24,Produto B,7,62.59,Nordeste
141,2023-10-27,Produto A,2,87.1,Sudeste
142,2022-02-18,Produto A,11,373.61,Sul
143,2023-06-18,Produto E,14,322.75,Sudeste
144,2023-08-20,Produto A,4,227.13,Norte
145,2023-11-05,Produto C,7,389.66,Norte
146,2022-07-06,Produto E,14,451.86,Sudeste
147,2023-07-11,Produto B,13,346.68,Sul
148,2023-04-12,Produto C,5,158.88,Sul
149,2023-11-20,Produto C,10,462.48,Centro-Oeste
150,2022-05-31,Produto A,1,320.33,Sul
151,2023-05-01,Produto E,19,19.99,Sul
152,2024-01-01,Produto E,16,461.59,Centro-Oeste
153,2023-03-25,Produto A,3,143.93,Nordeste
154,2022-10-28,Produto C,18,290.04,Sul
155,2022-07-26,Produto B,20,341.85,Norte
156,2023-12-29,Produto D,16,257.67,Sul
157,2022-12-25,Produto C,11,114.07,Norte
158,2023-10-06,Produto D,1,166.36,Centro-Oeste
159,2022-10-11,Produto D,11,307.64,Centro-Oeste
160,2022-01-21,Produto D,16,43.62,Sudeste
161,2022-09-23,Produto D,19,120.14,Nordeste
162,2022-05-06,Produto D,10,456.2,Sul
163,2022-01-22,Produto C,4,211.77,Sul
164,2023-12-29,Produto B,4,181.19,Nordeste
165,2023-05-13,Produto D,4,356.05,Sudeste
166,2022-12-14,Produto B,19,50.15,Nordeste
167,2023-11-02,Produto D,17,463.44,Centro-Oeste
168,2023-07-27,Produto A,16,174.11,Centro-Oeste
169,2022-03-17,Produto B,2,289.73,Nordeste
170,2022-09-22,Produto C,12,107.01,Norte
171,2023-07-14,Produto D,10,56.95,Sul
172,2023-11-24,Produto C,4,421.83,Sudeste
173,2023-02-13,Produto A,1,115.73,Sudeste
174,2023-01-14,Produto C,20,17.93,Sudeste
175,2022-08-16,Produto E,11,374.49,Sul
176,2022-09-13,Produto A,14,484.61,Norte
177,2022-07-16,Produto E,16,301.23,Centro-Oeste
178,2022-03-26,Produto D,5,420.95,Norte
179,2022-05-27,Produto A,1,324.84,Sudeste
180,2022-10-07,Produto D,12,207.04,Sudeste
181,2022-07-29,Produto A,7,131.86,Nordeste
182,2022-12-12,Produto B,20,375.33,Centro-Oeste
183,2023-10-01,Produto E,5,193.95,Norte
184,2023-06-15,Produto E,18,389.99,Nordeste
185,2023-03-26,Produto C,20,174.84,Sul
186,2023-08-23,Produto A,6,73.01,Centro-Oeste
187,2023-05-20,Produto B,15,361.67,Centro-Oeste
188,2022-04-18,Produto E,7,181.19,Norte
189,2022-07-28,Produto D,15,218.91,Sudeste
190,2023-11-02,Produto E,3,283.79,Nordeste
191,2023-03-15,Produto B,6,405.61,Sul
192,2023-10-05,Produto A,8,133.42,Norte
193,2022-10-05,Produto E,5,14.1,Nordeste
194,2023-10-31,Produto B,10,51.51,Norte
195,2022-05-16,Produto B,12,385.11,Nordeste
196,2022-06-09,Produto B,12,216.23,Norte
197,2023-12-27,Produto B,15,138.08,Sul
198,2023-07-01,Produto B,3,438.71,Nordeste
199,2022-06-11,Produto C,3,28.34,Nordeste
200,2022-03-07,Produto D,1,36.4,Sudeste
201,2023-09-01,Produto B,3,428.57,Centro-Oeste
202,2022-01-03,Produto E,17,378.23,Sudeste
203,2022-02-20,Produto D,19,436.39,Sudeste
204,2023-05-29,Produto D,17,389.44,Sudeste
205,2022-10-27,Produto C,4,425.94,Sudeste
206,2022-08-10,Produto D,13,32.5,Nordeste
207,2022-12-17,Produto A,19,149.05,Centro-Oeste
208,2023-08-19,Produto A,4,24.2,Sul
209,2022-06-09,Produto C,13,341.93,Centro-Oeste
210,2022-09-04,Produto C,12,13.89,Norte
211,2022-07-20,Produto A,17,367.63,Centro-Oeste
212,2023-11-02,Produto A,11,487.32,Sul
213,2022-07-24,Produto E,20,274.74,Sul
214,2022-01-25,Produto E,11,52.61,Sudeste
215,2022-05-08,Produto C,8,414.2,Sul
216,2023-04-22,Produto D,6,332.0,Norte
217,2022-12-27,Produto A,17,402.88,Sul
218,2022-03-19,Produto E,8,482.76,Centro-Oeste
219,2022-04-08,Produto D,5,318.25,Sudeste
220,2023-07-07,Produto E,5,91.41,Sudeste
